BootArgs: Version=2, Revision=0, at 0xffffff8003f4d000
CommandLine: keepsyms=y -v debug=0x14e kext-dev-mode=1
Video: baseAddr=0x90010000, display=2, rowBytes=6912, width=1680, height=1050, depth=32
DevTree: addr=0x3f52000, length=0x12394
Kernel image: kaddr=0x300000, ksize=0x3d07000
EFI Runtime: Mode=64, PageStart=0x3f65 (0x3f65000), PageCount=0x9f, SystemTable=0x3f95f18
MemoryMap: Size=0x1f50, DescriptorSize=48, DescriptorVersion=1
Type       Physical Start   - Physical End     Number of Pages  Virtual Start    Attribute
BS_code    0000000089bde000 - 0000000089bdefff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089bdf000 - 0000000089bdffff 0000000000000001 0000000000000000 000000000000000f
BS_code    0000000089be0000 - 0000000089be0fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089be1000 - 0000000089bf2fff 0000000000000012 0000000000000000 000000000000000f
BS_code    0000000089bf3000 - 0000000089bf3fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089bf4000 - 0000000089bf5fff 0000000000000002 0000000000000000 000000000000000f
BS_code    0000000089bf6000 - 0000000089bf6fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089bf7000 - 0000000089c73fff 000000000000007d 0000000000000000 000000000000000f
BS_code    0000000089c74000 - 0000000089c74fff 0000000000000001 0000000000000000 000000000000000f
BS_data    0000000089c75000 - 000000008ad0efff 000000000000109a 0000000000000000 000000000000000f
available  000000008ad0f000 - 000000008ad33fff 0000000000000025 0000000000000000 000000000000000f
ACPI_NVS   000000008ad34000 - 000000008ad5efff 000000000000002b 0000000000000000 000000000000000f
available  000000008ad5f000 - 000000008ad6ffff 0000000000000011 0000000000000000 000000000000000f
ACPI_recl  000000008ad70000 - 000000008ad8efff 000000000000001f 0000000000000000 000000000000000f
available  000000008ad8f000 - 000000008ae5dfff 00000000000000cf 0000000000000000 000000000000000f
available  000000008ae5e000 - 000000008ae8efff 0000000000000031 0000000000000000 000000000000000f

